time(days)	ertime	instrument	flux(1d-15erg/s/cm2)	erflux 
-15.	0.	ASCA	1710.	-5
1108	0.	BeppoSAX	2160.	-5
1782	0.	ChandraACIS-S	2040.00	163.783
1840	0.	ChandraACIS-S	1910.00	101.272
1840	0.	ChandraACIS-S	1650.00	92.1954
1933	0.	Chandra-HETGS	1610.00	90.4489
2139	0.	BeppoSAX	9120.00	-5
2254	0.	ChandraACIS-S	1890.00	228.254
2350	0.	XMM-Newton	2150.00	53.8516
3381	0.	Chandra-HETG-S	2920.00	162.788
3560	0.	Chandra-HETG-S	3080.00	170.294
4407	0.	Swift-XRT	3460.00	504.777
