Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
137.514	45.787	-46.984	2.263643032e-11	5.12541752e-12	-5.12541752e-12
216.412	24.558	-33.110	4.209069713e-11	8.78840032e-12	-8.78840032e-12
257.828	15.738	-16.858	6.53459357e-11	1.470325899e-11	-1.470325899e-11
286.101	7.523	-12.536	1.124010934e-10	2.463739954e-11	-2.463739954e-11
304.090	9.592	-10.466	1.073795124e-10	2.416107989e-11	-2.416107989e-11
333.077	13.201	-19.395	7.15185884e-11	1.531276195e-11	-1.531276195e-11
353.531	7.791	-7.253	1.435545923e-10	3.209978526e-11	-3.209978526e-11
376.953	14.457	-15.631	7.86737056e-11	1.682085681e-11	-1.682085681e-11
402.051	14.432	-10.641	9.08714797e-11	1.982978418e-11	-1.982978418e-11
429.653	19.425	-13.170	6.59375694e-11	1.481319847e-11	-1.481319847e-11
463.141	11.011	-14.063	9.34489028e-11	2.000823973e-11	-2.000823973e-11
494.374	14.881	-20.222	6.09833537e-11	1.372164787e-11	-1.372164787e-11
520.995	13.333	-11.740	8.60497534e-11	1.936174404e-11	-1.936174404e-11
558.204	26.271	-23.876	4.21516707e-11	9.45480821e-12	-9.45480821e-12
600.837	11.212	-16.362	9.67232529e-11	1.941712754e-11	-1.941712754e-11
3887.160	38.655	-26.536	2.584692346e-11	5.82829232e-12	-5.82829232e-12
3960.453	30.552	-34.638	2.681770355e-11	5.88558946e-12	-5.88558946e-12
4031.677	42.070	-40.672	1.996105816e-11	4.50650152e-12	-4.50650152e-12
4108.424	28.006	-34.677	2.66805809e-11	5.98742183e-12	-5.98742183e-12
4171.426	25.179	-34.997	2.959611057e-11	6.46575856e-12	-6.46575856e-12
4238.735	45.627	-42.129	2.007941507e-11	4.39168312e-12	-4.39168312e-12
4315.552	21.464	-31.190	3.215589715e-11	7.23349024e-12	-7.23349024e-12
4360.337	31.840	-23.321	3.147620584e-11	6.90007726e-12	-6.90007726e-12
4432.233	32.656	-40.057	2.356370958e-11	5.28162916e-12	-5.28162916e-12
4512.318	47.849	-47.429	1.732922993e-11	3.884215531e-12	-3.884215531e-12
4596.216	41.678	-36.049	2.158994939e-11	4.85084466e-12	-4.85084466e-12
4689.316	43.857	-51.422	1.506609203e-11	3.385226143e-12	-3.385226143e-12
4770.983	34.902	-37.810	1.329487167e-11	2.987395472e-12	-2.987395472e-12
4834.821	28.733	-28.936	2.237427026e-11	5.02756328e-12	-5.02756328e-12
4895.481	28.249	-31.927	2.868321378e-11	6.42912356e-12	-6.42912356e-12
4968.397	50.611	-44.668	1.801384326e-11	4.037667047e-12	-4.037667047e-12
5056.566	45.183	-37.559	2.058451259e-11	4.61939335e-12	-4.61939335e-12
5162.597	46.967	-60.848	1.586629094e-11	3.573427034e-12	-3.573427034e-12
5248.881	40.918	-39.316	1.473442029e-11	3.318670692e-12	-3.318670692e-12
5319.092	23.360	-29.293	1.905826832e-11	4.188038206e-12	-4.188038206e-12
5380.748	41.939	-38.295	1.2073172e-11	2.71954104e-12	-2.71954104e-12
5468.193	97.412	-45.506	1.059941491e-11	2.398938673e-12	-2.398938673e-12
5617.929	55.491	-52.324	1.149940756e-11	2.593353722e-12	-2.593353722e-12
5703.613	24.969	-30.193	1.748211856e-11	3.918678291e-12	-3.918678291e-12
5761.526	27.231	-32.945	1.604574641e-11	3.596710516e-12	-3.596710516e-12
5827.691	43.808	-38.934	1.161195028e-11	2.602858996e-12	-2.602858996e-12
5936.077	50.759	-64.578	8.31774832e-12	1.871314507e-12	-1.871314507e-12
6038.888	58.270	-52.052	8.67794795e-12	1.94996037e-12	-1.94996037e-12
6141.242	31.137	-44.083	1.331405548e-11	2.918925519e-12	-2.918925519e-12
6223.013	34.615	-50.634	1.180170234e-11	2.599493748e-12	-2.599493748e-12
6304.977	47.920	-47.350	1.116951154e-11	2.386639226e-12	-2.386639226e-12
9756.119	154.166	-159.247	4.89636257e-12	8.72195736e-13	-8.72195736e-13
10206.658	80.995	-109.561	4.138044361e-12	1.042591155e-12	-1.042591155e-12
10391.064	77.116	-103.412	4.069362787e-12	1.057259809e-12	-1.057259809e-12
10558.875	97.354	-90.695	3.919001541e-12	1.015028705e-12	-1.015028705e-12
10810.458	134.113	-154.229	2.533100353e-12	6.62255205e-13	-6.62255205e-13
11033.619	91.481	-89.047	4.084323659e-12	1.058945019e-12	-1.058945019e-12
11220.614	107.579	-95.514	3.624922914e-12	9.42770693e-13	-9.42770693e-13
11430.799	80.429	-102.606	4.013219865e-12	1.044846147e-12	-1.044846147e-12
11727.594	367.820	-216.366	1.555047138e-12	3.684733646e-13	-3.684733646e-13
15824.416	359.826	-470.099	9.27565013e-13	2.474621411e-13	-2.474621411e-13
16433.620	176.867	-249.379	1.843771883e-12	4.81804556e-13	-4.81804556e-13
16881.036	210.857	-270.549	1.624002828e-12	4.238643209e-13	-4.238643209e-13
17572.163	264.381	-480.269	1.111187822e-12	2.833394862e-13	-2.833394862e-13
21637.784	536.652	-481.320	7.39136554e-13	1.952361471e-13	-1.952361471e-13
22778.403	800.112	-603.968	5.21712139e-13	1.40268519e-13	-1.40268519e-13
30827.089	117831.565	-3913.190	9.25683698e-14	2.884082186e-14	-2.409948137e-14
