Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
50.8283359325667	0.579324091702368	-0.596769937453331	1.55591096429055e-09	2.32180785013951e-10	-2.32075748442227e-10
52.0371508757343	0.695843161043229	-0.629490851465178	1.36573919020925e-09	2.03593959031444e-10	-2.03593604705241e-10
53.5110988648005	0.680785133219658	-0.778104828023039	1.23914324591014e-09	1.84721788369725e-10	-1.84721512064064e-10
55.1366812641132	0.702694725426873	-0.944797266093026	1.09517911728083e-09	1.63260390908285e-10	-1.63260233100725e-10
57.1794366527798	1.0466673682926	-1.3400606632397	1.05554900714121e-09	1.32987274867777e-10	-1.32987143838534e-10
66.364	0.973	-1.294	2.134151117e-09	3.299214208e-10	-3.255828066e-10
68.412	1.467	-1.075	1.77925723e-09	3.108069557e-10	-2.964761801e-10
71.046	1.153	-1.167	2.051242304e-09	3.255999715e-10	-3.19734385e-10
73.216	1.017	-1.017	2.301576144e-09	3.844746401e-10	-3.666545805e-10
75.595	1.305	-1.362	1.831456512e-09	2.786719951e-10	-2.733828208e-10
78.052	0.749	-1.152	2.46797245e-09	4.02277613e-10	-3.845575321e-10
79.677	0.863	-0.875	4.01952301e-09	5.22424093e-10	-5.13399031e-10
81.160	0.673	-0.620	3.449516954e-09	5.84973145e-10	-5.7544252e-10
82.634	0.696	-0.800	4.6178273e-09	6.41449185e-10	-5.98868503e-10
84.136	0.733	-0.806	4.38917441e-09	6.01991029e-10	-5.86593058e-10
85.576	0.593	-0.708	5.43167034e-09	7.08055644e-10	-6.84404836e-10
86.813	0.630	-0.644	5.79167968e-09	7.44207504e-10	-7.18855846e-10
87.881	0.458	-0.438	8.1643928e-09	1.049897951e-09	-1.027933135e-09
88.803	0.494	-0.463	7.64841747e-09	9.79776402e-10	-9.62951281e-10
89.652	0.444	-0.355	9.26482711e-09	1.171217431e-09	-1.14982543e-09
90.415	0.368	-0.319	1.066025528e-08	1.379841346e-09	-1.34631075e-09
91.032	0.365	-0.249	1.218854916e-08	1.561283332e-09	-1.493157056e-09
91.713	0.295	-0.317	1.196189819e-08	1.612418312e-09	-1.50655037e-09
92.356	0.341	-0.347	1.074911394e-08	1.46278965e-09	-1.333111372e-09
93.066	0.381	-0.369	9.85761048e-09	1.352480339e-09	-1.22233638e-09
93.829	0.248	-0.381	1.175114919e-08	1.589973348e-09	-1.457394241e-09
94.447	0.349	-0.370	1.040833398e-08	1.337542184e-09	-1.273821305e-09
95.138	0.393	-0.342	9.85422442e-09	1.320988417e-09	-1.2600366e-09
95.961	0.451	-0.430	8.31282422e-09	1.145980336e-09	-1.046086092e-09
96.857	0.473	-0.445	7.7724544e-09	1.037206873e-09	-9.93510668e-10
97.712	0.390	-0.383	9.21135786e-09	1.172473323e-09	-1.142893e-09
98.609	0.517	-0.507	7.04522959e-09	8.91412748e-10	-8.67605931e-10
99.598	0.489	-0.471	7.48325907e-09	9.36265922e-10	-9.14780472e-10
100.631	0.440	-0.543	7.07253312e-09	9.19280882e-10	-9.03238543e-10
101.599	0.582	-0.528	6.33722634e-09	8.15719058e-10	-7.98011059e-10
102.712	0.464	-0.531	6.16979623e-09	7.94693033e-10	-7.65627657e-10
103.457	0.326	-0.281	4.58392369e-09	5.60019525e-10	-5.60018352e-10
104.003	0.281	-0.221	5.70850225e-09	6.87227856e-10	-6.87226292e-10
104.601	0.220	-0.317	3.476347765e-09	5.18225535e-10	-5.18225144e-10
105.097	0.367	-0.275	4.22885659e-09	5.33796328e-10	-5.33795546e-10
105.831	0.312	-0.368	4.04413646e-09	5.0218476e-10	-5.02183978e-10
106.497	0.333	-0.354	4.01540187e-09	5.0286901e-10	-5.02868228e-10
107.074	0.270	-0.244	3.811740136e-09	5.62844109e-10	-5.62843718e-10
107.642	0.286	-0.298	4.70993908e-09	5.84861319e-10	-5.84860537e-10
108.196	0.278	-0.268	3.360270031e-09	5.13233638e-10	-5.13233247e-10
108.774	0.311	-0.300	3.07560209e-09	4.64374278e-10	-4.64373887e-10
109.387	0.283	-0.302	3.191028027e-09	4.75692555e-10	-4.75692164e-10
109.932	0.319	-0.263	3.2105401e-09	4.78601204e-10	-4.78600813e-10
110.534	0.265	-0.283	3.349360349e-09	5.11567587e-10	-5.11566805e-10
111.108	0.284	-0.309	3.152692823e-09	4.6997809e-10	-4.69977308e-10
111.711	0.389	-0.319	2.637806037e-09	3.93222835e-10	-3.93222444e-10
112.405	0.357	-0.305	2.773126445e-09	4.23555833e-10	-4.23555442e-10
113.180	0.402	-0.418	2.158593309e-09	3.463368911e-10	-3.463365392e-10
114.032	0.419	-0.450	2.076448119e-09	3.250155438e-10	-3.25015231e-10
114.861	0.381	-0.410	2.35899684e-09	3.516601215e-10	-3.516597305e-10
115.578	0.336	-0.336	2.68060216e-09	4.19580536e-10	-4.19580145e-10
116.500	0.498	-0.585	1.663851234e-09	2.604339565e-10	-2.604336828e-10
117.597	0.561	-0.599	1.61005198e-09	2.400135123e-10	-2.400131995e-10
118.678	0.395	-0.520	2.006829005e-09	3.065147532e-10	-3.065144013e-10
119.591	0.404	-0.519	2.02264691e-09	3.015197673e-10	-3.015194154e-10
120.523	0.599	-0.527	1.629558188e-09	2.488919884e-10	-2.488917147e-10
121.699	0.777	-0.577	1.379424931e-09	2.056335079e-10	-2.056332342e-10
122.978	0.521	-0.502	1.825658764e-09	2.721544552e-10	-2.721541424e-10
123.973	0.650	-0.475	1.661025086e-09	2.476121672e-10	-2.476118935e-10
125.449	0.900	-0.826	9.69362508e-10	1.677755976e-10	-1.677754412e-10
127.176	0.863	-0.827	1.06659326e-09	1.669482807e-10	-1.669480852e-10
128.860	1.019	-0.821	9.97600919e-10	1.523694156e-10	-1.523692592e-10
130.942	0.721	-1.063	1.028422276e-09	1.570769383e-10	-1.570767428e-10
133.105	1.567	-1.441	6.09994408e-10	9.31680274e-11	-9.31679101e-11
135.865	1.167	-1.193	7.90838555e-10	1.178917394e-10	-1.178916221e-10
138.557	1.229	-1.525	6.66096652e-10	1.017367924e-10	-1.017367142e-10
140.863	1.116	-1.076	8.36953877e-10	1.278328362e-10	-1.278326798e-10
143.305	1.387	-1.326	6.8810135e-10	1.025765431e-10	-1.025764258e-10
147.163	1.164	-2.471	4.86774277e-10	7.81008033e-11	-7.81007251e-11
149.907	1.878	-1.580	5.20927345e-10	8.15380452e-11	-8.1537967e-11
154.027	1.724	-2.242	4.46143903e-10	7.15818167e-11	-7.15817776e-11
157.549	2.144	-1.798	4.56953489e-10	7.15244961e-11	-7.1524457e-11
161.419	1.709	-1.725	3.623605012e-10	6.61578647e-11	-6.61578256e-11
166.205	2.581	-3.078	2.026544789e-10	4.13478199e-11	-4.13478199e-11
170.452	2.304	-1.666	1.908811561e-10	6.53946718e-11	-6.53946718e-11
174.549	1.859	-1.793	3.317441064e-10	6.28199759e-11	-6.28199368e-11
178.233	2.024	-1.825	2.895842186e-10	6.1385045e-11	-6.13850059e-11
182.275	2.666	-2.018	2.032690918e-10	5.27487543e-11	-5.27487543e-11
187.015	2.372	-2.074	2.72525436e-10	5.1606135e-11	-5.16060959e-11
191.583	1.936	-2.196	3.011657168e-10	5.49852352e-11	-5.49851961e-11
194.985	1.807	-1.466	3.602391307e-10	7.07886732e-11	-7.07886341e-11
199.316	2.341	-2.525	2.423349575e-10	4.76199291e-11	-4.76199291e-11
204.117	2.729	-2.459	2.272639016e-10	4.46584169e-11	-4.46583778e-11
209.698	2.120	-2.853	2.371622621e-10	4.66034855e-11	-4.66034464e-11
