Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
74.1406856105868	0.527407372285225	-0.625457653917877	4.45317113045595e-09	5.61220504233074e-10	-5.41184792592581e-10
75.0222261310368	0.343286852865234	-0.354133148164777	7.39563265232201e-09	9.50406873325332e-10	-8.99727298391767e-10
75.7283342570532	0.359462745842222	-0.36282127315117	7.16944573301902e-09	9.34687906190102e-10	-8.72583033938703e-10
76.4865501082041	0.319961847160087	-0.398753105308714	7.25033666560069e-09	9.34661284605786e-10	-8.83150299221277e-10
77.1701941284289	0.287479855248037	-0.36368217306466	8.04451842435214e-09	1.01385717382935e-09	-9.78918078807353e-10
77.7815032265991	0.361107757352485	-0.323829242922216	7.64887829376842e-09	9.71432467838731e-10	-9.30824713741535e-10
78.4782071032881	0.358400906153307	-0.3355961193365	7.73041863286601e-09	9.77042314516787e-10	-9.34647025933614e-10
79.2711431429843	0.423902864648923	-0.434535133542866	9.72146470517204e-09	9.96032560654824e-10	-9.45103510116039e-10
87.103	0.364	-0.419	8.16991027e-09	1.124221704e-09	-1.089027576e-09
87.908	0.505	-0.441	7.15633715e-09	9.32681521e-10	-8.85362519e-10
88.930	0.487	-0.516	6.75012854e-09	8.89969291e-10	-8.35292848e-10
89.867	0.450	-0.450	7.3839865e-09	9.7773496e-10	-9.3934288e-10
90.780	0.482	-0.463	7.1696793e-09	9.20255451e-10	-8.8801117e-10
91.710	0.536	-0.448	6.9484668e-09	8.75916138e-10	-8.49595841e-10
92.693	0.449	-0.447	7.62400987e-09	9.72690621e-10	-9.332565e-10
93.511	0.418	-0.368	8.53326091e-09	1.12532447e-09	-1.070382919e-09
94.517	0.575	-0.588	5.65878578e-09	7.75595315e-10	-7.28794037e-10
95.468	0.431	-0.375	8.24790199e-09	1.090837875e-09	-1.048199209e-09
96.358	0.451	-0.460	7.02095163e-09	9.58314758e-10	-9.35645942e-10
97.260	0.522	-0.451	6.64867268e-09	8.76214905e-10	-8.53671703e-10
98.138	0.431	-0.355	8.23312673e-09	1.100655893e-09	-1.030901953e-09
98.920	0.392	-0.351	8.62400488e-09	1.18381479e-09	-1.093245361e-09
99.732	0.404	-0.420	7.85958123e-09	1.040869875e-09	-9.84669408e-10
100.485	0.363	-0.349	9.182661e-09	1.208153023e-09	-1.136036707e-09
101.210	0.419	-0.362	8.36706526e-09	1.101223932e-09	-1.035911245e-09
102.039	0.456	-0.410	7.33198855e-09	9.68357632e-10	-9.4199396e-10
102.781	0.301	-0.286	1.123423257e-08	1.398742773e-09	-1.373216412e-09
103.362	0.321	-0.280	1.076622673e-08	1.37335313e-09	-1.348335124e-09
