time(days)	Lum(erg/s)
#-17.27861771058315    42.70743634277804
#-8.639308855291574    42.77878113964533
#-3.4557235421166297    43.09933282488736
3.4557235421166297    42.885785516980604
10.367170626349946    42.81467144349521
15.55075593952489    43.12335369253546
24.190064794816465    43.17095961699919
29.373650107991352    42.69625907672194
34.5572354211663    43.04054963436753
815.5507559395248    42.933442713306974
827.645788336933    43.06418596304581
831.1015118790497    43.11171497971557
840.6047516198705    43.028769923925374
