time(s)	flux(cts/s)
801.1325431764126	0.5348230321759933
2402.732543170452	0.46729366910677583
4004.332543179393	0.4571232606912735
5605.932543173432	0.4863706764061467
7207.532543182373	0.46390438063475475
8809.132543176413	0.5048396133604786
10410.732543170452	0.4426206648717751
12012.332543179393	0.41427243113782614
13613.932543173432	0.49297439518439684
15215.532543182373	0.49097039601945536
16817.132543176413	0.561948554510744
18418.732543170452	0.5114059002480283
20020.332543179393	0.46239326088318333
21621.932543173432	0.49869875032738
23223.532543182373	0.5655716703423402
24825.132543176413	0.8236130904193043
26426.732543170452	0.8630463646376434
28028.332543179393	0.7332814756461629
29629.932543173432	0.6399219615773023
31231.532543182373	0.6228821645365145
32833.13254317641	0.7331837106298961
34434.73254317045	0.5927493042040259
36036.33254317939	0.5560271390648559
37637.93254317343	0.5296662030238206
39239.53254318237	0.5683914928852171
40841.13254317641	0.5581983255981495
42442.73254317045	0.644576253909973
44044.33254317939	0.6394397581939609
45645.93254317343	0.6207760493660885
47247.53254318237	0.6336770645543949
48849.13254317641	0.621834048352517
50450.73254317045	0.577746963431955
