time(s)	flux(cts/s)
800.7814975231886	0.4067277451258833
2402.381497517228	0.5414767668900932
4003.981497526169	0.4670557189438688
5605.581497520208	0.417532408698482
7207.181497529149	0.5856319890591645
8808.781497523189	0.613835823405605
10410.381497517228	0.553165354634056
12011.981497526169	0.45003981870366255
13613.581497520208	0.4529539162014478
15215.181497529149	0.4572768470460131
16816.78149752319	0.5306180233466278
18418.381497517228	0.4468980926098728
20019.98149752617	0.3892156011312367
21621.58149752021	0.4394405210174111
23223.18149752915	0.4197056982335877
24824.78149752319	0.35570248562244416
26426.381497517228	0.3349638785449354
28027.98149752617	0.30673626607784277
29629.58149752021	0.26282912744334297
31231.18149752915	0.2628235073244019
32832.78149752319	0.2744012745274577
34434.38149751723	0.376855163425448
36035.98149752617	0.32834967576600876
37637.58149752021	0.3423626130329463
39239.18149752915	0.27723427473583057
40840.78149752319	0.2743662919327622
42442.38149751723	0.2680222395188746
44043.98149752617	0.20631443245624478
45645.58149752021	0.23521205915757248
47247.18149752915	0.25131093796716064
48848.78149752319	0.22289316877822363
50450.38149751723	0.2590441028307105
52051.98149752617	0.2508690356232277
53653.58149752021	0.25824574193368344
55255.18149752915	0.22988531489670724
56856.78149752319	0.2870984594537611
