time(s)	flux(cts/s)
206.75105515122414	2.8227331693188487
606.9510551393032	2.684588208361082
1007.1510551571846	2.4750670729778323
1407.3510551452637	2.539232261407538
1807.551055163145	2.564392700525507
2207.751055151224	2.458058005283975
2607.951055139303	2.685491487895639
3008.1510551571846	2.5773919659277142
3408.3510551452637	2.306949602080378
3808.551055163145	2.5500020211338055
4208.751055151224	2.66661657971611
4608.951055139303	2.3971848807400353
5009.151055157185	2.6093431716617506
5409.351055145264	2.453002699213133
5809.551055163145	2.3074524853264937
6209.751055151224	2.3946564232853667
6609.951055139303	2.6217130850513977
7010.151055157185	2.867278635227938
7410.351055145264	2.9931712663416365
7810.551055163145	2.796800354295856
8210.751055151224	2.679708954371306
8610.951055139303	2.7444146960901517
9011.151055157185	2.677244646988254
9411.351055145264	2.983761634343245
9811.551055163145	3.1814501157834507
10211.751055151224	4.413669462023894
10611.951055139303	4.9784763834062975
11012.151055157185	3.6859898934585815
11412.351055145264	3.838485271923185
11812.551055163145	3.8233690922270847
12212.751055151224	3.7879635874748225
12612.951055139303	3.5979837209639927
13013.151055157185	3.4388736282203927
13413.351055145264	3.4875163540309173
13813.551055163145	3.242200562292172
14213.751055151224	3.23707396380053
14613.951055139303	3.2372477257296506
15014.151055157185	3.331541504458228
15414.351055145264	3.4536121543717893
15814.551055163145	3.257386081946482
16214.751055151224	3.2406481807911374
16614.951055139303	3.138896756479707
17015.151055157185	3.150011873618436
17415.351055145264	3.3359270101589438
17815.551055163145	3.2735566982962
18215.751055151224	3.4618067076395733
18615.951055139303	3.3892980324720483
19016.151055157185	3.121134879302194
19416.351055145264	3.3798587481415505
19816.551055163145	3.364474995967576
20216.751055151224	3.533277972484602
20616.951055139303	3.474416465977154
21017.151055157185	3.75449355633632
21417.351055145264	3.5838106200927924
21817.551055163145	4.029130373683378
22217.751055151224	3.818974188581792
22617.951055139303	3.8555084132442516
23018.151055157185	3.717640282071933
23418.351055145264	3.6546064943460648
23818.551055163145	3.701920272550265
24218.751055151224	3.542345185977714
24618.951055139303	3.8830464148510617
25019.151055157185	3.759651117795278
25419.351055145264	3.9336114262188033
25819.551055163145	3.7194611922363
26219.751055151224	3.5363706856398145
26619.951055139303	3.427570874816572
27020.151055157185	3.3422775369224524
27420.351055145264	3.596771715301337
27820.551055163145	3.4466600482005294
28220.751055151224	3.515222263965784
28620.951055139303	4.638650438818987
29021.151055157185	4.864324160127151
29421.351055145264	4.608068874162519
29821.551055163145	4.511853521078802
30221.751055151224	4.5354764598504484
30621.951055139303	4.334645214767386
31022.151055157185	4.272748880556925
31422.351055145264	3.913881508535638
31822.551055163145	4.162179084118194
32222.751055151224	3.9627558566119503
32622.951055139303	3.88265645660778
33023.151055157185	4.154053160358362
33423.351055145264	3.841158071962977
33823.551055163145	3.586178783228741
34223.751055151224	3.4339717162358347
34623.9510551393	3.4182889476236267
35024.151055157185	3.3986890290640828
35424.351055145264	3.1387287238690953
35824.551055163145	3.080844019880593
36224.751055151224	2.9265588945218153
36624.9510551393	2.938714293605502
37025.151055157185	2.767387931790311
37425.351055145264	2.669638099329847
37825.551055163145	2.9084957787090584
38225.751055151224	3.0065746603791146
38625.9510551393	2.8057391823208064
39026.151055157185	2.585202807272246
39426.351055145264	2.5850213277563823
