time(s)	flux(cts/s)
800.4560068547726	0.0898744871463071
2402.056006848812	0.06672148029117494
4003.6560068428516	0.07964608131639506
5605.2560068666935	0.06522147032005758
7206.856006860733	0.08111429761462277
8808.456006854773	0.048014489777576844
10410.056006848812	0.07066365706946014
12011.656006842852	0.06025885092393959
13613.256006866693	0.08180197963759249
15214.856006860733	0.07731690296979356
16816.456006854773	0.06015324223299226
18418.056006848812	0.07855370423565734
20019.65600684285	0.0699119352565394
21621.256006866693	0.0651696853049539
23222.856006860733	0.07009541476755578
24824.456006854773	0.08072658244533562
26426.056006848812	0.08125391401169435
28027.65600684285	0.060534094119950005
29629.256006866693	0.08133828650479015
31230.856006860733	0.19809104938561178
32832.45600685477	0.1229451186021104
34434.05600684881	0.09277652041803494
36035.65600684285	0.06967831465562178
37637.25600686669	0.06337871799727036
39238.85600686073	0.061759906119342775
40840.45600685477	0.066812030345396
42442.05600684881	0.1054371164025777
44043.65600684285	0.07998432713508606
45645.25600686669	0.07123886315044918
47246.85600686073	0.05952186149312778
48848.45600685477	0.08011835063406626
50450.05600684881	0.07595732918897681
52051.65600684285	0.10050936737253996
53653.25600686669	0.06673303163219634
55254.85600686073	0.07768349851293757
56856.45600685477	0.07333592552509252
58458.05600684881	0.07340408555197123
60059.65600684285	0.07392047250335097
61661.25600686669	0.08059877652814429
63262.85600686073	0.07013660873147173
64864.45600685477	0.0871642274052898
66466.05600684881	0.08113216793837555
68067.65600684285	0.0749945719229615
69669.2560068667	0.12620129083148537
71270.85600686073	0.39392952401034376
72872.45600685477	0.5705270328552028
74474.05600684881	0.5583181114244791
76075.65600684285	0.3695085575974003
77677.2560068667	0.21102318746497992
79278.85600686073	0.11187785688748828
80880.45600685477	0.06869903154832858
82482.05600684881	0.05506303001512763
83282.85600686073	0.0
