Year,Lx,Lx Uncert,Preflare limit year,Preflare limit Lx,year derived t-t_preflare (years),L-L_preflare,(L-L_preflare)/L_preflare,MJD,Preflare limit MJD,t-t_preflare (days),t-t_preflare (years),,,,,,,,,,,,,,
2005.97,7.05E+45,7.89E+43,2005.97,2.46E+45,0,4.60E+45,1.87E+00,53689.1,53689.1,0,0,,,,,,,,,,,,,,
2005.98,7.49E+45,3.18E+44,2005.97,2.46E+45,0.01,5.03E+45,2.05E+00,53691.6,53689.1,2.5,0.00684931506849315,,,,,,,,,,,,,,
2005.99,7.51E+45,1.16E+44,2005.97,2.46E+45,0.02,5.06E+45,2.06E+00,53698.1,53689.1,9,0.0246575342465753,,,,,,,,,,,,,,
2006.05,6.31E+45,6.10E+43,2005.97,2.46E+45,0.08,3.86E+45,1.57E+00,53717,53689.1,27.9,0.0764383561643836,,,,,,,,,,,,,,
2006.05,7.29E+45,1.59E+45,2005.97,2.46E+45,0.08,4.84E+45,1.97E+00,53717.7,53689.1,28.6,0.0783561643835616,,,,,,,,,,,,,,
2006.05,6.74E+45,6.66E+43,2005.97,2.46E+45,0.08,4.28E+45,1.74E+00,53719.1,53689.1,30,0.0821917808219178,,,,,,,,,,,,,,
2006.05,7.55E+45,4.88E+44,2005.97,2.46E+45,0.08,5.09E+45,2.07E+00,53719.2,53689.1,30.1,0.0824657534246575,,,,,,,,,,,,,,
2006.06,7.42E+45,8.59E+43,2005.97,2.46E+45,0.09,4.97E+45,2.02E+00,53721.2,53689.1,32.1,0.0879452054794521,,,,,,,,,,,,,,
2006.06,7.61E+45,3.24E+44,2005.97,2.46E+45,0.09,5.15E+45,2.10E+00,53723,53689.1,33.9,0.0928767123287671,,,,,,,,,,,,,,
2006.06,7.13E+45,9.35E+43,2005.97,2.46E+45,0.09,4.67E+45,1.90E+00,53723,53689.1,33.9,0.0928767123287671,,,,,,,,,,,,,,
2006.5,5.91E+45,2.58E+44,2005.97,2.46E+45,0.53,3.46E+45,1.41E+00,53881.4,53689.1,192.3,0.526849315068493,,,,,,,,,,,,,,
2006.5,4.35E+45,8.99E+43,2005.97,2.46E+45,0.53,1.89E+45,7.70E-01,53881.4,53689.1,192.3,0.526849315068493,,,,,,,,,,,,,,
2007.12,5.89E+45,1.05E+44,2005.97,2.46E+45,1.15,3.43E+45,1.40E+00,54112.8,53689.1,423.7,1.16082191780822,,,,,,,,,,,,,,
2007.61,5.79E+45,5.79E+44,2005.97,2.46E+45,1.64,3.34E+45,1.36E+00,54289,53689.1,599.9,1.64356164383562,,,,,,,,,,,,,,
2008.1,4.93E+45,9.25E+43,2005.97,2.46E+45,2.13,2.48E+45,1.01E+00,54469.7,53689.1,780.6,2.1386301369863,,,,,,,,,,,,,,
2008.1,5.09E+45,8.88E+43,2005.97,2.46E+45,2.13,2.63E+45,1.07E+00,54471.5,53689.1,782.4,2.14356164383562,,,,,,,,,,,,,,
2008.45,5.66E+45,1.06E+44,2005.97,2.46E+45,2.48,3.20E+45,1.30E+00,54596.3,53689.1,907.2,2.48547945205479,,,,,,,,,,,,,,
2008.51,5.37E+45,1.39E+44,2005.97,2.46E+45,2.54,2.91E+45,1.19E+00,54619,53689.1,929.9,2.54767123287671,,,,,,,,,,,,,,
2009.12,5.75E+45,9.91E+43,2005.97,2.46E+45,3.15,3.30E+45,1.34E+00,54843.5,53689.1,1154.4,3.1627397260274,,,,,,,,,,,,,,
2009.47,5.51E+45,4.51E+44,2005.97,2.46E+45,3.5,3.05E+45,1.24E+00,54968.2,53689.1,1279.1,3.50438356164384,,,,,,,,,,,,,,
2010.09,6.69E+45,9.40E+43,2005.97,2.46E+45,4.12,4.24E+45,1.73E+00,55198.6,53689.1,1509.5,4.13561643835616,,,,,,,,,,,,,,
2011.04,5.36E+45,6.08E+43,2005.97,2.46E+45,5.07,2.91E+45,1.18E+00,55539.7,53689.1,1850.6,5.07013698630137,,,,,,,,,,,,,,
2011.04,4.54E+45,3.39E+43,2005.97,2.46E+45,5.07,2.08E+45,8.48E-01,55540,53689.1,1850.9,5.07095890410959,,,,,,,,,,,,,,
2011.22,4.63E+45,5.18E+44,2005.97,2.46E+45,5.25,2.17E+45,8.85E-01,55611,53689.1,1921.9,5.26547945205479,,,,,,,,,,,,,,
2012.64,4.18E+45,3.73E+43,2005.97,2.46E+45,6.67,1.72E+45,7.02E-01,56124.4,53689.1,2435.3,6.67205479452055,,,,,,,,,,,,,,
