# time (s), error time (250 s bins), rate, error rate
# converion to flux 1E-12 erg/s/cm2
25245.9023 125 0.343982428 5.18680327E-2 0.998641968
25495.9023 125 0.24471809 5.4716032E-2 1.00448203
25745.9023 125 0.289337754 5.66595308E-2 0.998641968
25995.9023 125 0.281618893 6.03112206E-2 0.998641968
26245.9023 125 0.171219304 5.75890392E-2 0.998641968
26495.9023 125 0.301098526 5.00887968E-2 1.00448203
26745.9023 125 0.210974872 4.99683954E-2 0.998641968
26995.9023 125 0.250812024 6.81193918E-2 0.998641968
27245.9023 125 0.289609909 7.53375068E-2 0.998641968
27495.9023 125 0.373713106 6.02522418E-2 0.998641968
27745.9023 125 0.249952123 4.50910702E-2 1.00448203
27995.9023 125 0.29369244 6.08198196E-2 0.998641968
28245.9023 125 0.15887022 7.25246817E-2 0.998641968
28495.9023 125 0.227592856 6.79494813E-2 0.998641968
28745.9023 125 0.33014816 6.47695437E-2 1.00448203
28995.9023 125 0.355985224 6.77361041E-2 0.998641968
29245.9023 125 0.219541699 5.40844016E-2 0.998641968
29495.9023 125 0.197107032 7.66548887E-2 0.992802024
29745.9023 125 0.266717613 6.8047978E-2 1.00448203
29995.9023 125 0.243284747 5.07179834E-2 0.992802024
30245.9023 125 0.219465524 5.25987521E-2 0.998641968
30495.9023 125 0.175680771 4.8434291E-2 0.998641968
30745.9023 125 0.215696111 3.60357091E-2 0.998641968
30995.9023 125 0.20434244 3.2620918E-2 1.00448203
31245.9023 125 0.170355365 3.09918728E-2 0.998641968
31495.9023 125 0.185460374 3.69764045E-2 0.998641968
31745.9023 125 0.195412368 3.46900597E-2 0.998641968
31995.9023 125 0.217516497 3.4585882E-2 1.00448203
32245.9023 125 0.311506003 4.25993949E-2 0.998641968
32495.9023 125 0.223491415 4.36238684E-2 0.998641968
32745.9023 125 0.303079575 4.9000755E-2 0.998641968
32995.9023 125 0.340598226 5.77751324E-2 1.00448203
33245.9023 125 0.328144729 4.50982898E-2 0.998641968
