day	total_luminosity(e33erg/s)
0.00E+00	6.94
5.00E-01	6.98
1.24E+00	6.01
3.41E+00	7.07
6.90E+00	6.889
7.60E+00	7.46
3.53E+01	3.92
7.45E+01	1.84
7.56E+01	1.87
1.23E+02	1.13
1.91E+02	0.529
2.23E+02	0.4
3.67E+02	0.06
3.80E+02	0.07
4.42E+02	0.076
5.09E+02	0.01
6.09E+02	0.016
7.42E+02	0.01
7.94E+02	0.016
8.71E+02	0.01
1.14E+03	0.014
1.50E+03	0.013
1.86E+03	0.011
