day	total_luminosity(e33erg/s)
0.00E+00	337.67
5.98E+00	371.84
6.31E+00	367.24
1.35E+01	306.71
1.50E+01	360.59
1.58E+01	279.19
1.59E+01	349.94
1.95E+01	313.05
2.02E+01	369.19
2.11E+01	257.53
3.54E+01	308.46
3.56E+01	289.85
3.70E+01	280.45
4.06E+01	226.65
4.23E+01	270.18
4.77E+01	234.07
4.80E+01	234.36
4.89E+01	232.7
6.17E+01	232.1
6.19E+01	218.08
6.27E+01	212.82
7.48E+01	195.32
7.49E+01	224.39
7.57E+01	194.66
8.50E+01	189.19
8.54E+01	204.4
9.46E+01	217.86
9.51E+01	219.05
9.57E+01	189.8
1.05E+02	198.59
1.06E+02	149.2
1.15E+02	184.39
1.15E+02	193.48
1.16E+02	144.25
1.25E+02	224.23
1.25E+02	182.32
1.26E+02	188.94
1.35E+02	174.16
1.35E+02	185.51
1.36E+02	182.6
1.45E+02	155.64
1.45E+02	182.83
1.46E+02	170.29
1.55E+02	166.73
1.55E+02	163.31
1.56E+02	121.83
1.66E+02	166.51
1.67E+02	159.06
1.86E+02	155.67
1.86E+02	162.17
1.87E+02	117.88
1.93E+02	157.38
1.93E+02	179.09
1.94E+02	149.8
2.01E+02	160.31
2.02E+02	153.24
2.04E+02	142.05
2.05E+02	157.48
2.11E+02	161.71
2.11E+02	160.7
