day	total_luminosity(e33erg/s)
0.00E+00	116.91
7.50E-01	43.8
9.70E-01	50.98
1.23E+00	27.48
4.47E+00	31.36
6.41E+00	20.89
1.06E+01	21.95
1.36E+01	21.04
1.49E+01	12.34
1.69E+01	27.17
1.95E+01	17.06
2.22E+01	13.24
2.25E+01	10.54
2.56E+01	18.09
2.87E+01	10.22
3.36E+01	7.64
3.84E+01	9.91
4.09E+01	6.89
4.14E+01	10.26
4.47E+01	9.61
4.76E+01	9.02
5.58E+01	4.63
9.67E+01	0.25
9.53E+02	0.24
