day	total_luminosity(e33erg/s)
0	49.42
40.26	38.26
367.52	13.73
761.33	8.46
1150.25	3.77
1690.08	4.85
2238.731	3.81
2517.03	3.29
2636.29	3.01
0	1.96
105.269	213.52
106.369	60.67
107.269	31.44
108.129	32.06
108.989	36.33
110.119	33.37
111.399	27.55
120.339	20.25
122.979	17.84
126.499	30.53
129.599	20.53
140.189	17.09
143.499	16.9
155.479	17.49
169.359	17.16
170.859	10.1
213.909	9.06
215.909	6.17
222.809	9.61
225.479	8.69
347.579	21.01
1219.009	2.53
2562.279	1.2
