Ref= Margutti GRB catalogue
Spec Model= Absorbed power-law with NH_Galaxy=0.09d22 and NH_intrinsic=0.6d22 .  Time variable Photon Index
Comments= this LC is available in any energy band contained in the 0.3-10 keV range. This SN is linked to GRB060218. 
The obs extends up to      85.5625000       72.6898575   Swift-XRT     4.3419190768820278e+02   1.6518451645582132e+02: this last
bin has to be calculated manually with Ximage

time(days)       	ertime	  instrument		flux(1d-15 erg/s/cm2)		erflux 
      0.0021886        0.0000029   Swift-XRT     3.0245448368049208e+06   1.0044691745036971e+06
      0.0021938        0.0000023   Swift-XRT     3.7844984923651735e+06   1.2566643281530787e+06
      0.0021984        0.0000023   Swift-XRT     4.4981223190632137e+06   1.4008358917294571e+06
      0.0022030        0.0000023   Swift-XRT     4.2651970844076453e+06   1.3549201760554295e+06
      0.0022088        0.0000035   Swift-XRT     2.8466464740972696e+06   9.0413287967550103e+05
      0.0022158        0.0000035   Swift-XRT     2.6921049833816821e+06   8.7326584852220886e+05
      0.0022221        0.0000029   Swift-XRT     4.1858139177008974e+06   1.2347507460930273e+06
      0.0022273        0.0000023   Swift-XRT     4.0471719309209674e+06   1.3123762077071886e+06
      0.0022331        0.0000035   Swift-XRT     2.8600093404662628e+06   9.0771423710833676e+05
      0.0022406        0.0000041   Swift-XRT     2.8641453653222015e+06   8.5874507504968275e+05
      0.0022476        0.0000029   Swift-XRT     3.4415557070843759e+06   1.0918151938099640e+06
      0.0022540        0.0000035   Swift-XRT     3.0309883491952401e+06   9.4232865954779752e+05
      0.0022597        0.0000023   Swift-XRT     4.3119672277214248e+06   1.3674550380926575e+06
      0.0022650        0.0000029   Swift-XRT     3.6448433160529700e+06   1.1327985216524892e+06
      0.0022702        0.0000023   Swift-XRT     4.3205572453075545e+06   1.3697574186011250e+06
      0.0022754        0.0000029   Swift-XRT     4.0365284448284907e+06   1.2089383938373998e+06
      0.0022812        0.0000029   Swift-XRT     3.2652063275406817e+06   1.0579139786415226e+06
      0.0022864        0.0000023   Swift-XRT     5.0383093253003601e+06   1.5107006756664985e+06
      0.0022910        0.0000023   Swift-XRT     3.8363046073186523e+06   1.2727758846864388e+06
      0.0022962        0.0000029   Swift-XRT     3.6419172122492678e+06   1.1339182925951262e+06
      0.0023020        0.0000029   Swift-XRT     3.4475293730906737e+06   1.0957009743961520e+06
      0.0023078        0.0000029   Swift-XRT     3.0620639357437082e+06   1.0175350562136031e+06
