Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
79.555	0.400	-0.324	8.1763624e-09	1.058303964e-09	-1.031834714e-09
80.307	0.379	-0.352	8.09707869e-09	1.043795271e-09	-1.021429973e-09
81.216	0.504	-0.530	5.85949455e-09	7.50746341e-10	-7.18035221e-10
82.144	0.485	-0.424	6.58718407e-09	8.97548567e-10	-8.21085438e-10
83.120	0.479	-0.491	6.10687461e-09	8.41924158e-10	-7.730793e-10
84.135	0.490	-0.537	5.90014423e-09	7.78968099e-10	-7.24124256e-10
84.956	0.434	-0.331	7.91703906e-09	1.013664626e-09	-9.70591293e-10
85.763	0.356	-0.373	8.42715356e-09	1.062413675e-09	-1.025020931e-09
86.539	0.431	-0.419	7.12205341e-09	8.91536171e-10	-8.71093936e-10
87.457	0.433	-0.487	6.43681215e-09	8.26613192e-10	-8.11725291e-10
88.253	0.358	-0.363	8.40574337e-09	1.049268536e-09	-1.027694436e-09
88.981	0.321	-0.371	8.5545072e-09	1.111689894e-09	-1.079972423e-09
89.651	0.310	-0.349	9.13913873e-09	1.175257293e-09	-1.120273462e-09
90.372	0.457	-0.411	6.76857485e-09	9.03422304e-10	-8.43196011e-10
91.309	0.456	-0.480	6.20805581e-09	8.42472592e-10	-7.85804475e-10
92.145	0.415	-0.380	7.38933303e-09	9.7429876e-10	-9.20760881e-10
92.936	0.364	-0.376	7.93999089e-09	1.029283034e-09	-9.88742332e-10
93.656	0.367	-0.356	8.13527415e-09	1.043154693e-09	-1.011720742e-09
94.486	0.372	-0.464	6.94774177e-09	8.91643377e-10	-8.76154768e-10
95.316	0.450	-0.457	6.57428834e-09	8.22401148e-10	-8.09810202e-10
96.243	0.421	-0.477	6.54065135e-09	8.25532715e-10	-8.11922426e-10
97.043	0.482	-0.379	6.59159635e-09	8.84131426e-10	-8.58940231e-10
97.875	0.501	-0.349	6.83158274e-09	9.01742891e-10	-8.63441554e-10
98.894	0.574	-0.518	5.44073994e-09	7.0939362e-10	-6.6721116e-10
99.952	0.521	-0.484	5.91750097e-09	7.90312886e-10	-7.26261731e-10
100.926	0.492	-0.453	6.41298318e-09	8.56935213e-10	-7.87192837e-10
101.936	0.493	-0.518	5.99514558e-09	7.99693854e-10	-7.35885906e-10
102.973	0.499	-0.544	5.81096833e-09	7.49808067e-10	-7.12944265e-10
104.020	0.450	-0.548	5.8652757e-09	7.83221342e-10	-7.53335676e-10
105.025	0.511	-0.555	5.68489496e-09	7.13115263e-10	-6.95482977e-10
106.013	0.396	-0.478	6.93528904e-09	8.64255788e-10	-8.47851055e-10
106.906	0.504	-0.497	5.31189339e-09	6.65920701e-10	-6.59303167e-10
107.674	0.288	-0.263	5.77376076e-09	7.17157195e-10	-7.17158081e-10
108.226	0.330	-0.264	5.29465183e-09	6.68692552e-10	-6.68693438e-10
108.831	0.372	-0.275	4.9759532e-09	6.07913395e-10	-6.07914281e-10
109.537	0.278	-0.334	5.26534738e-09	6.43268782e-10	-6.43269668e-10
110.112	0.362	-0.296	4.83731192e-09	6.008409e-10	-6.00842229e-10
110.761	0.256	-0.287	5.79807703e-09	7.32273241e-10	-7.32274127e-10
111.300	0.282	-0.284	5.62838588e-09	6.99100072e-10	-6.99101401e-10
111.919	0.304	-0.336	4.97172698e-09	6.17536684e-10	-6.1753757e-10
112.445	0.288	-0.222	4.238784809e-09	6.31883239e-10	-6.31884125e-10
112.982	0.257	-0.248	7.23448681e-09	8.29858167e-10	-8.29859939e-10
113.563	0.365	-0.324	4.68022412e-09	5.71783644e-10	-5.7178453e-10
114.271	0.296	-0.344	5.04683763e-09	6.22087623e-10	-6.22088509e-10
114.814	0.345	-0.246	4.268005532e-09	6.0527533e-10	-6.05276216e-10
115.395	0.285	-0.236	4.355623401e-09	6.43398138e-10	-6.43399024e-10
116.005	0.313	-0.325	4.98569034e-09	6.19271029e-10	-6.19272358e-10
116.650	0.289	-0.332	5.12848696e-09	6.37007863e-10	-6.37008749e-10
117.274	0.293	-0.335	5.0593701e-09	6.28422523e-10	-6.28423409e-10
117.891	0.322	-0.324	4.8674182e-09	5.94653519e-10	-5.94654405e-10
118.519	0.358	-0.306	4.68092849e-09	5.81416679e-10	-5.81417565e-10
119.114	0.325	-0.238	3.623242068e-09	5.67588434e-10	-5.67588877e-10
119.770	0.215	-0.331	3.865533387e-09	5.76241996e-10	-5.76242439e-10
120.247	0.300	-0.262	4.423025408e-09	6.0755235e-10	-6.07552793e-10
120.820	0.238	-0.273	3.989272147e-09	6.24927696e-10	-6.24928582e-10
121.359	0.304	-0.301	4.421061589e-09	5.85587081e-10	-5.85587967e-10
121.950	0.223	-0.287	4.318666569e-09	6.29945114e-10	-6.29945557e-10
122.451	0.244	-0.277	5.95909424e-09	7.40177247e-10	-7.40178133e-10
122.982	0.244	-0.287	5.83945766e-09	7.25316812e-10	-7.25318141e-10
123.488	0.241	-0.261	4.301692581e-09	6.34252403e-10	-6.34253289e-10
124.072	0.336	-0.343	4.62535857e-09	5.65081054e-10	-5.6508194e-10
124.745	0.286	-0.337	4.92892875e-09	6.225036e-10	-6.22504486e-10
125.329	0.264	-0.298	3.755398714e-09	5.59823973e-10	-5.59824859e-10
125.905	0.295	-0.312	5.05890938e-09	6.38919408e-10	-6.38920294e-10
126.476	0.339	-0.277	5.10657175e-09	6.23870698e-10	-6.23871584e-10
127.119	0.330	-0.304	4.90446186e-09	6.09181704e-10	-6.0918259e-10
127.787	0.341	-0.339	4.63975607e-09	5.71909456e-10	-5.71910342e-10
128.466	0.282	-0.338	5.07772802e-09	6.20347076e-10	-6.20347962e-10
129.063	0.373	-0.316	4.51203474e-09	5.60438414e-10	-5.604393e-10
129.667	0.322	-0.231	3.816164581e-09	5.68882437e-10	-5.68883323e-10
