days(sincemerger)	flux(unabsorbed,0.3-10keV)	flux_poserr	flux_negerr
9.000000000000000000e+00	5.257999999999999848e-15	2.508169818779518507e-15	-7.606448619520214035e-16
1.500000000000000000e+01	5.768099999999999992e-15	1.202849871977240056e-15	-8.648047510668567737e-16
1.090000000000000000e+02	2.593399999999999898e-14	2.837796169746053036e-15	-2.708705981608031152e-15
1.580000000000000000e+02	2.669300000000000046e-14	2.122312295081969697e-15	-2.286408606557377744e-15
2.600000000000000000e+02	1.338000000000000048e-14	1.575404742436630858e-15	-1.827031888798038360e-15
3.600000000000000000e+02	8.476499999999999588e-15	1.905522276141555324e-15	-1.038421026819132607e-15
5.820000000000000000e+02	3.588499999999999836e-15	1.032506036217303897e-15	-1.019815773428449493e-15
