timeobs	terr1	terr2	flux	ferr1	ferr2
1494770.800	138.781	-134.179	9.43194189e-11	4.331723676e-12	-4.89343722e-12
1504919.598	85.069	-82.005	9.35236281e-11	5.5082769e-12	-5.95281078e-12
1505097.174	89.026	-92.507	8.57124555e-11	5.05635312e-12	-5.46315021e-12
1505252.244	77.392	-66.044	1.090616898e-10	6.38744316e-12	-6.90853254e-12
1505402.696	79.496	-73.06	1.008854658e-10	6.01433532e-12	-6.48851091e-12
1505566.795	88.472	-84.603	9.00509064e-11	5.31228516e-12	-5.73967254e-12
1505740.587	86.003	-85.321	9.12686943e-11	5.34963555e-12	-5.78538849e-12
1505930.387	99.110	-103.797	7.6242999e-11	4.519556097e-12	-4.87979247e-12
1506115.921	90.811	-86.423	8.78476053e-11	5.16981465e-12	-5.5876821e-12
1506339.272	126.803	-132.54	8.11026552e-11	4.144026978e-12	-4.583052243e-12
1510642.748	86.976	-84.969	8.42142861e-11	5.30471172e-12	-5.6807562e-12
1510827.264	98.615	-97.54	7.47788811e-11	4.628503026e-12	-4.96792065e-12
1511017.423	82.206	-91.543	8.67054069e-11	5.21138646e-12	-5.61583617e-12
1511191.686	96.621	-92.058	7.92636327e-11	4.79770179e-12	-5.16503295e-12
1511376.149	89.932	-87.841	8.50546095e-11	5.08161885e-12	-5.48057685e-12
1511551.168	96.937	-85.087	8.34192681e-11	4.96905087e-12	-5.36142558e-12
1511737.401	92.567	-89.297	8.35681287e-11	4.98783474e-12	-5.3801853e-12
1511977.752	153.482	-147.783	7.56090615e-11	3.690736791e-12	-4.117216614e-12
1522610.739	140.641	-159.504	5.11452564e-11	3.095473101e-12	-3.332514045e-12
1522908.162	154.521	-156.783	4.82144607e-11	2.981470611e-12	-3.200506281e-12
1523217.148	140.028	-154.465	5.15533431e-11	3.137599878e-12	-3.375298668e-12
1523591.587	237.755	-234.412	4.701051075e-11	2.369867031e-12	-2.627463489e-12
1534761.449	100.970	-115.021	7.31664822e-11	4.387582143e-12	-4.729602171e-12
1534969.929	107.037	-107.51	7.29079323e-11	4.396321062e-12	-4.735387545e-12
1535243.770	165.901	-166.803	7.01411634e-11	3.444474411e-12	-3.837984171e-12
1545156.424	92.330	-92.246	8.16710979e-11	4.8930798e-12	-5.2751811e-12
1545344.510	102.689	-95.756	7.48122081e-11	4.544703009e-12	-4.89023976e-12
1545536.057	89.205	-88.858	8.28860844e-11	5.06811417e-12	-5.4486264e-12
1545715.811	82.144	-90.548	8.24474238e-11	5.24622042e-12	-5.6109144e-12
1545886.840	95.857	-88.885	8.03655489e-11	4.88205774e-12	-5.25324324e-12
1546089.557	106.277	-106.86	7.01252727e-11	4.228527345e-12	-4.554653292e-12
1546286.000	96.303	-90.167	7.97562444e-11	4.83605682e-12	-5.20506399e-12
1546541.574	147.297	-159.272	7.87742571e-11	3.711265257e-12	-4.169899356e-12
1556742.643	89.049	-98.21	7.85926974e-11	4.87454709e-12	-5.23059537e-12
1556919.225	87.454	-87.533	8.59221258e-11	5.1746688e-12	-5.57471838e-12
1557107.774	98.471	-101.094	7.35795921e-11	4.549612221e-12	-4.88390763e-12
1557304.805	97.438	-98.56	7.57385538e-11	4.626207327e-12	-4.97424795e-12
1557493.425	90.476	-91.181	8.28373014e-11	4.9838838e-12	-5.36993121e-12
1557674.756	80.570	-90.855	8.65899699e-11	5.28902871e-12	-5.68693377e-12
1557836.073	72.949	-80.747	9.66208656e-11	5.89574916e-12	-6.34016712e-12
1557990.391	74.735	-81.368	9.35334813e-11	5.81912121e-12	-6.24163995e-12
1558165.847	103.278	-100.721	9.75681252e-11	5.17859076e-12	-5.68883196e-12
1568227.610	63.204	-63.398	1.203173286e-10	7.1427489e-12	-7.71045744e-12
1568359.252	67.416	-68.438	1.117646061e-10	6.64107129e-12	-7.16797599e-12
1568500.148	74.466	-73.48	1.026245556e-10	6.08684811e-12	-6.57148065e-12
1568642.151	63.744	-67.537	1.168189113e-10	6.89728347e-12	-7.45127964e-12
1568767.832	62.709	-61.936	1.21893744e-10	7.22315391e-12	-7.79926665e-12
1568889.456	63.382	-58.915	1.258050297e-10	7.36755642e-12	-7.9686789e-12
1569025.350	73.245	-72.512	1.046407425e-10	6.18949527e-12	-6.68490354e-12
1569173.817	72.252	-75.223	1.031934813e-10	6.10389318e-12	-6.59244768e-12
1569328.836	73.703	-82.767	9.75092475e-11	5.77292226e-12	-6.2341776e-12
1569484.516	83.201	-81.977	9.228681e-11	5.44884375e-12	-5.88649971e-12
1569675.481	113.425	-107.765	8.94220404e-11	4.677465702e-12	-5.15135439e-12
1579723.732	74.780	-78.747	9.99561738e-11	5.97348318e-12	-6.44222985e-12
1579884.581	82.662	-86.068	9.10617771e-11	5.40672615e-12	-5.83634016e-12
1580064.528	91.007	-97.285	8.16046371e-11	4.84129737e-12	-5.22658164e-12
1580237.785	86.241	-82.251	9.1348341e-11	5.40623349e-12	-5.83848951e-12
1580405.193	86.099	-81.167	9.21751887e-11	5.4772683e-12	-5.91180408e-12
1580578.462	87.481	-87.17	8.86477431e-11	5.22530169e-12	-5.64634728e-12
1580761.833	97.237	-95.89	7.97315148e-11	4.737836838e-12	-5.1137142e-12
1580948.975	99.136	-89.905	8.20122891e-11	4.84587621e-12	-5.23453182e-12
1581201.471	167.483	-153.361	7.96653921e-11	3.663603783e-12	-4.137488124e-12
1591724.432	132.916	-133.258	6.50817867e-11	3.892524048e-12	-4.197494112e-12
1591990.099	154.211	-132.751	5.87346354e-11	3.533030529e-12	-3.806803623e-12
1592273.703	129.538	-129.393	6.62625285e-11	3.924758019e-12	-4.238074806e-12
1592634.478	243.427	-231.237	6.17381226e-11	2.803552248e-12	-3.174919839e-12
1603283.897	119.379	-123.065	6.39016245e-11	3.889131939e-12	-4.183765803e-12
1603536.618	136.385	-133.342	5.74709625e-11	3.4783245e-12	-3.744683544e-12
1603791.929	103.403	-118.926	7.00814163e-11	4.218090198e-12	-4.54457115e-12
1604030.871	124.946	-135.539	5.97333828e-11	3.601901982e-12	-3.879699432e-12
1604281.622	122.004	-125.806	6.37123851e-11	3.775454025e-12	-4.076583756e-12
1604619.389	209.900	-215.763	5.55615669e-11	2.717895096e-12	-3.030701352e-12
1615403.024	97.002	-109.211	7.95244527e-11	4.760211813e-12	-5.13258018e-12
1615603.869	92.438	-103.844	8.28785013e-11	4.95290418e-12	-5.34156462e-12
1615783.289	78.150	-86.982	9.97147704e-11	5.91570189e-12	-6.38649165e-12
1615952.176	82.071	-90.737	9.48800853e-11	5.62433214e-12	-6.07262376e-12
1616226.562	182.759	-192.315	8.62383942e-11	3.642944424e-12	-4.195599303e-12
